TimeUTC,TimeDK,PriceArea,SatisfiedDemand,ImbalancePriceEUR,ImbalancePriceDKK,SpotPriceEUR,DominatingDirection,aFRRUpMW,aFRRVWAUpEUR,aFRRVWAUpDKK,aFRRDownMW,aFRRVWADownEUR,aFRRVWADownDKK,mFRRMarginalPriceUpEUR,mFRRMarginalPriceUpDKK,mFRRMarginalPriceDownEUR,mFRRMarginalPriceDownDKK
2026-01-01 00:00:00,2026-01-01T01:00:00,DK2,-284.0,-28.8,-215.1,60.0,-1.0,0.08,105.66,789.16,-7.48,-28.8,-215.1,60.0,448.13,-1.0,-7.47
2026-01-01 00:15:00,2026-01-01T01:15:00,DK2,-299.0,-0.79,-5.9,48.89,-1.0,0.0,0.0,0.0,-3.27,-0.79,-5.9,48.89,365.15,1.0,7.47
2026-01-01 00:30:00,2026-01-01T01:30:00,DK2,-262.0,-17.95,-134.07,36.73,-1.0,0.0,0.0,0.0,-7.59,-17.95,-134.07,36.73,274.33,0.0,0.0
2026-01-01 00:45:00,2026-01-01T01:45:00,DK2,-164.0,-262.88,-1963.42,23.93,-1.0,0.0,0.0,0.0,-19.35,-262.88,-1963.42,23.93,178.73,4.0,29.88
2026-01-01 01:00:00,2026-01-01T02:00:00,DK2,-208.0,-164.0,-1224.9,36.0,-1.0,2.94,87.02,649.94,-4.82,-164.0,-1224.9,36.0,268.88,3.0,22.41
2026-01-01 01:15:00,2026-01-01T02:15:00,DK2,-212.0,4.0,29.88,19.92,-1.0,5.32,71.48,533.88,0.0,0.0,0.0,19.92,148.78,4.0,29.88
2026-01-01 01:30:00,2026-01-01T02:30:00,DK2,-167.0,-106.03,-791.93,14.99,-1.0,0.19,54.26,405.26,-8.58,-106.03,-791.93,14.99,111.96,-1.0,-7.47
2026-01-01 01:45:00,2026-01-01T02:45:00,DK2,-183.0,-55.06,-411.24,7.36,-1.0,0.0,0.0,0.0,-11.57,-55.06,-411.24,7.36,54.97,-10.0,-74.69
2026-01-01 02:00:00,2026-01-01T03:00:00,DK2,-171.0,-15.94,-119.05,10.02,-1.0,0.0,0.0,0.0,-8.53,-15.94,-119.05,10.02,74.84,4.0,29.88
2026-01-01 02:15:00,2026-01-01T03:15:00,DK2,-215.0,-10.0,-74.69,6.75,-1.0,1.18,55.21,412.36,-0.42,4.08,30.47,6.75,50.42,-10.0,-74.69
2026-01-01 02:30:00,2026-01-01T03:30:00,DK2,-99.0,-173.56,-1296.3,4.4,-1.0,0.22,47.64,355.82,-2.25,-173.56,-1296.3,4.4,32.86,0.0,0.0
2026-01-01 02:45:00,2026-01-01T03:45:00,DK2,-171.0,-267.64,-1998.98,3.97,-1.0,0.0,0.0,0.0,-17.46,-267.64,-1998.98,3.97,29.65,-1.5,-11.2
2026-01-01 03:00:00,2026-01-01T04:00:00,DK2,0.0,4.5,33.61,4.5,0.0,0.0,0.0,0.0,-17.57,-267.64,-1998.98,7.05,52.66,4.5,33.61
